Général;référence;Lamarck;Buffon;Lavoisier;Condorcet;Grands Moulins;Halle aux Farines;bat 7;Diapason;bat 10A;bat 11B;bat 14B;bat 1;bat 1+2+3+4+5;bat 1A+1B;bat 8;bat B;bat H;bat L;bat EREVE
;descriptif sommaire;;;;;;;béton avec allege préfa;bardage;béton;béton avec allège préfa;béton;pierre ou brique;Béton avec allège préfa;béton;béton  avec allège préfa;Béton armé;Béton armé;Béton armé;Béton armé
toitures;vetusté;Bon;Bon;Bon;Moyen;Moyen;Moyen;Mauvais état;Neuf ou Bon état;Mauvais état;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Mauvais état;Neuf ou Bon état;Mauvais état;Mauvais état;Mauvais état;Mauvais état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;toiture terrasse;toiture terrasse;toiture terrasse;toiture terrasse;couverture ardoises sur charpente béton;toiture voutée en béton étanché;Toiture terrasse + sheds;toiture terrasse;toiture terrasse;toiture terrasse + sheds;faux plafond;"Planchers
hauts sur
combles non
isolés et
rampants
toitures";terrasse;"Toiture
terrasse et
zinc ";toiture terasse;Toiture terrasse béton;Toiture terrasse béton;Toiture terrasse béton;Toiture terrasse béton + toiture terrasse bac acier
production Chaud;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;Mauvais état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Neuf ou Bon état;Etat moyen;Mauvais état;Neuf ou Bon état;Etat moyen;Etat moyen;Neuf ou Bon état;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme;Conforme
;descriptif sommaire;sous-station CPCU;sous-station CPCU;sous-station CPCU;sous-station CPCU;sous-station CPCU;sous-station CPCU;sous station alimentée par la sous station du bat 6;Une chaufferie gaz comprenant 2 chaudières;sous station alimentée par le réseau de beaulieu;"Sous-station alimenté par
la sous station du
bâtiment 11 A";"Sous station
raccordée au
secondaire de la
sous station
principale du 14A";"Une chaufferie gaz
située au sous-sol du
bâtiment 1, comprenant 2 chaudières";chaufferie gaz   ;chaufferie gaz comportant 2 chaudières;"Une sous station
de chauffage
urbain avec trois
échangeurs
« hiver » et 1
échangeur « été »";Echangeurs des bâtiments B, H et P venant du chauffage urbain de Villejean;Echangeurs des bâtiments B, H et P venant du chauffage urbain de Villejean;Echangeurs des bâtiments B, H et P venant du chauffage urbain de Villejean;Echangeurs des bâtiments B, H et P venant du chauffage urbain de Villejean
production Froid;vetusté;Bon;Bon;Bon;Bon;Bon;Bon;;;Etat moyen;Neuf ou Bon état;Neuf ou Bon état;;Etat moyen;Etat moyen;Neuf ou Bon état;;Neuf ou Bon état;;Neuf ou Bon état
;conformité;conforme;conforme;conforme;conforme;conforme;conforme;;;Non-conformité majeure;Conforme;Conforme;;Conforme;Conforme;Conforme;;Conforme;;Conforme
;descriptif sommaire;;;;;;;SO;SO;GF pour maintien en température du circuit d’eau réfrigérée ;"Climatisation pour
salle blanche et
laboratoires";1 GF qui alimente les batteries à eau glacée des CTA;SO;Climatiseurs pour locaux informatiques.;Climatiseurs pour locaux informatiques.;1 GF à condensation à air;SO;1 GF ;SO;2 splits pr local radio + GF pour conservation alimentaire restaurant
